destinazione;marca;alimentazione;data_immatricolazione
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;04/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;13/02/2009
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;13/02/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;21/03/2002
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;04/06/2009
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;30/09/2010
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;30/09/2010
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;30/09/2010
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;11/06/2012
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;04/06/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;22/04/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;22/04/2010
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;27/02/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;28/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;28/01/2010
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;28/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;28/05/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;28/01/2010
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;06/04/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;06/08/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;20/10/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;02/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;02/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;06/04/2009
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;06/04/2009
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;04/03/2009
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;21/03/2008
AUTOBUS PER TRASPORTO DI PERSONE;IVECO - FIAT;ELETTR;20/01/2009
AUTOBUS PER TRASPORTO DI PERSONE;RENAULT;ELETTR;20/06/2005
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;05/09/2003
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;01/10/2003
AUTOBUS PER TRASPORTO DI PERSONE;MENARINI;ELETTR;01/10/2003
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;09/06/2016
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;05/01/2006
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;20/08/2014
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;08/04/1999
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;26/07/1999
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;29/04/1998
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;08/04/1999
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;08/04/1999
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;27/05/2005
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;08/04/1999
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;08/04/1999
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;09/12/1996
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;14/07/2004
AUTOBUS PER TRASPORTO DI PERSONE;MERCEDES;ELETTR;14/07/2004
AUTOBUS PER TRASPORTO DI PERSONE;LAMBORGHINI;ELETTR;08/04/1999
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;11/04/2005
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;28/11/2012
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;28/11/2012
AUTOBUS PER TRASPORTO DI PERSONE;;ELETTR;28/11/2012
AUTOBUS PER TRASPORTO DI PERSONE;RFMOTO;ELETTR;28/11/2012
